filepath	method	gene_col	p_col	tissue	target	data_type
/cga/tcga-gsc/home/jhess/PCAWG/20160908_final/mutsig_v5_PanCan_v2_noSkinLymph_results/pc.3utr.txt	MutSig	name	pCVmax	Pancan-no-skin-melanoma-lymph	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Adenocarcinoma_tumors.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	meta_Adenocarcinoma	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Biliary-AdenoCA.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	Biliary-AdenoCa	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Bladder-TCC.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	Bladder-TCC	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Bone-Cart.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	Bone-Cart	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Bone-Epith.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	Bone-Epith	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Bone-Leiomyo.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	Bone-Leiomyo	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Bone-Osteosarc.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	Bone-Osteosarc	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Breast-AdenoCa.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	Breast-AdenoCa	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Breast-DCIS.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	Breast-DCIS	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Breast-LobularCa.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	Breast-LobularCa	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Breast_tumors.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	meta_Breast	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/CNS-GBM.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	CNS-GBM	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/CNS-Medullo.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	CNS-Medullo	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/CNS-Oligo.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	CNS-Oligo	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/CNS_tumors.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	meta_CNS	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Carcinoma_tumors.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	meta_Carcinoma	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Cervix-AdenoCA.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	Cervix-AdenoCa	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Cervix-SCC.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	Cervix-SCC	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/ColoRect-AdenoCA.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	ColoRect-AdenoCa	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Digestive_tract_tumors.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	meta_Digestive_tract	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Eso-AdenoCa.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	Eso-AdenoCa	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Female_reproductive_system_tumors.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	meta_Female_reproductive_tract	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Glioma_tumors.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	meta_Glioma	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Head-SCC.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	Head-SCC	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Hematopoietic_tumors.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	meta_Hematopoietic_system	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Kidney-ChRCC.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	Kidney-ChRCC	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Kidney-RCC.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	Kidney-RCC	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Kidney_tumors.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	meta_Kidney	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Liver-HCC.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	Liver-HCC	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Lung-AdenoCA.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	Lung-AdenoCa	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Lung-SCC.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	Lung-SCC	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Lung_tumors.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	meta_Lung	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Lymph-BNHL.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	Lymph-BNHL	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Lymph-CLL.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	Lymph-CLL	3UTR	observed
/xchip/cga_home/esther/WGS/PCAWG/PCAWG_train2/October_2016_MAF/integration_driver_paper_October_2017/ncDriver_combined/Lymph-NOS.gc19_pc.3utr.ncDriverCombined.observed.p	ncDriver_combined	id.element	combined.p	Lymph-NOS	3UTR	observed
